date,dollar,yesterday,before_yesterday,variation,arroz,price
06/01/2010,1.74,20.4,20.39,-0.01,31.71,20.25
07/01/2010,1.75,20.25,20.4,0.15,32.13,20.28
08/01/2010,1.73,20.28,20.25,-0.03,32.19,20.18
11/01/2010,1.74,20.18,20.28,0.1,32.72,20.19
12/01/2010,1.75,20.19,20.18,-0.01,32.82,19.89
13/01/2010,1.76,19.89,20.19,0.3,32.9,19.54
14/01/2010,1.77,19.54,19.89,0.35,33.04,19.69
15/01/2010,1.77,19.69,19.54,-0.15,32.91,19.67
18/01/2010,1.77,19.67,19.69,0.02,32.99,19.62
19/01/2010,1.77,19.62,19.67,0.05,33.03,19.5
20/01/2010,1.79,19.5,19.62,0.12,32.93,19.4
21/01/2010,1.8,19.4,19.5,0.1,32.96,19.27
22/01/2010,1.82,19.27,19.4,0.13,32.87,19.29
25/01/2010,1.82,19.29,19.27,-0.02,32.7,19.06
26/01/2010,1.84,19.06,19.29,0.23,32.61,19.15
27/01/2010,1.86,19.15,19.06,-0.09,31.87,19.2
28/01/2010,1.87,19.2,19.15,-0.05,31.59,19.18
29/01/2010,1.89,19.18,19.2,0.02,31.36,19.1
01/02/2010,1.86,19.1,19.18,0.08,31.22,19.08
02/02/2010,1.83,19.08,19.1,0.02,31.14,18.97
03/02/2010,1.84,18.97,19.08,0.11,30.49,18.95
04/02/2010,1.88,18.95,18.97,0.02,30.31,18.77
05/02/2010,1.89,18.77,18.95,0.18,30.24,18.63
08/02/2010,1.85,18.63,18.77,0.14,30.15,18.62
09/02/2010,1.85,18.62,18.63,0.01,30.11,18.41
10/02/2010,1.85,18.41,18.62,0.21,29.83,18.05
11/02/2010,1.85,18.05,18.41,0.36,29.7,18.12
12/02/2010,1.86,18.12,18.05,-0.07,29.67,18.03
17/02/2010,1.83,18.03,18.12,0.09,29.3,18.07
18/02/2010,1.82,18.07,18.03,-0.04,29.31,18.02
19/02/2010,1.81,18.02,18.07,0.05,29.28,18.1
22/02/2010,1.81,18.1,18.02,-0.08,29.23,18
23/02/2010,1.83,18,18.1,0.1,29.1,18.09
24/02/2010,1.83,18.09,18,-0.09,28.64,18.05
25/02/2010,1.83,18.05,18.09,0.04,28.17,18.1
26/02/2010,1.81,18.1,18.05,-0.05,27.97,18.18
01/03/2010,1.8,18.18,18.1,-0.08,27.85,18.14
02/03/2010,1.78,18.14,18.18,0.04,27.81,18.11
03/03/2010,1.79,18.11,18.14,0.03,27.29,18.38
04/03/2010,1.79,18.38,18.11,-0.27,27.41,18.44
05/03/2010,1.79,18.44,18.38,-0.06,27.26,18.47
08/03/2010,1.79,18.47,18.44,-0.03,27.26,18.45
09/03/2010,1.78,18.45,18.47,0.02,27.12,18.54
10/03/2010,1.77,18.54,18.45,-0.09,27.01,18.58
11/03/2010,1.77,18.58,18.54,-0.04,26.96,18.68
12/03/2010,1.76,18.68,18.58,-0.1,26.95,18.66
15/03/2010,1.76,18.66,18.68,0.02,26.98,18.69
16/03/2010,1.76,18.69,18.66,-0.03,26.96,18.65
17/03/2010,1.77,18.65,18.69,0.04,27.01,18.64
18/03/2010,1.79,18.64,18.65,0.01,26.95,18.59
19/03/2010,1.8,18.59,18.64,0.05,26.97,18.5
22/03/2010,1.8,18.5,18.59,0.09,26.95,18.63
23/03/2010,1.78,18.63,18.5,-0.13,26.96,18.56
24/03/2010,1.8,18.56,18.63,0.07,26.99,18.58
25/03/2010,1.81,18.58,18.56,-0.02,26.99,18.26
26/03/2010,1.83,18.26,18.58,0.32,27.18,18.52
29/03/2010,1.8,18.52,18.26,-0.26,27.17,18.2
30/03/2010,1.8,18.2,18.52,0.32,27.37,18.26
31/03/2010,1.78,18.26,18.2,-0.06,27.44,18.23
01/04/2010,1.77,18.23,18.26,0.03,27.5,18.31
05/04/2010,1.76,18.31,18.23,-0.08,27.52,18.23
06/04/2010,1.75,18.23,18.31,0.08,27.59,18.28
07/04/2010,1.78,18.28,18.23,-0.05,27.88,18.18
08/04/2010,1.78,18.18,18.28,0.1,28,18.27
09/04/2010,1.77,18.27,18.18,-0.09,28.04,18.25
12/04/2010,1.76,18.25,18.27,0.02,28.08,18.32
13/04/2010,1.76,18.32,18.25,-0.07,28.1,18.27
14/04/2010,1.75,18.27,18.32,0.05,28.33,18.2
15/04/2010,1.75,18.2,18.27,0.07,28.43,18.18
16/04/2010,1.76,18.18,18.2,0.02,28.54,18.14
19/04/2010,1.76,18.14,18.18,0.04,28.53,18.05
20/04/2010,1.75,18.05,18.14,0.09,28.65,18.08
22/04/2010,1.76,18.08,18.05,-0.03,28.66,18.16
23/04/2010,1.76,18.16,18.08,-0.08,28.78,18.05
26/04/2010,1.75,18.05,18.16,0.11,28.73,18.06
27/04/2010,1.77,18.06,18.05,-0.01,28.68,18.04
28/04/2010,1.75,18.04,18.06,0.02,28.63,18.01
29/04/2010,1.73,18.01,18.04,0.03,28.6,18.01
